                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0553,                 3.2719,                 1.7139,                 0.5985,                0.09353,                0.14061,                0.07742,                 1.2073,                 3.3357,                 1.2199,                  4e-05,                  4e-05,                  4e-05
                      2,                 1.9758,                 2.9567,                 1.7144,                0.50607,                0.63393,                0.54881,                0.36258,                 1.0451,                 1.8241,                 1.1271,              9.901e-05,              9.901e-05,              9.901e-05
                      3,                 1.5456,                 1.8807,                 1.3734,                0.27586,                0.23022,                0.18323,                0.10571,                 1.1546,                 12.654,                 1.1922,             0.00015683,             0.00015683,             0.00015683
                      4,                 1.4668,                 1.5879,                 1.3336,                0.30746,                0.34496,                0.22797,                0.10426,                 1.6001,                 2.7988,                  1.358,             0.00021347,             0.00021347,             0.00021347
                      5,                 1.4797,                 1.5131,                 1.3077,                 0.1965,                0.30935,                0.15549,                0.06878,                 1.6305,                 5.7965,                  1.379,             0.00026891,             0.00026891,             0.00026891
                      6,                 1.2953,                 1.3071,                 1.2255,                0.24769,                 0.4964,                0.20603,                0.08252,                 1.6856,                 6.1774,                  1.444,             0.00032317,             0.00032317,             0.00032317
                      7,                 1.3193,                 1.2013,                  1.217,                0.54118,                0.33094,                 0.3279,                0.17692,                 1.5334,                 9.3187,                 1.4456,             0.00037624,             0.00037624,             0.00037624
                      8,                  1.314,                 1.1426,                 1.2427,                0.28992,                0.72555,                0.40983,                0.21227,                 1.3806,                 7.2587,                 1.3698,             0.00042812,             0.00042812,             0.00042812
                      9,                 1.2438,                 1.0916,                 1.2245,                0.44681,                0.60432,                0.54767,                0.27688,                 1.3716,                 4.1026,                 1.3107,             0.00047882,             0.00047882,             0.00047882
                     10,                 1.2771,                 1.0272,                 1.2127,                0.37719,                0.63612,                0.36991,                0.19585,                  1.411,                 4.8837,                 1.3737,             0.00052832,             0.00052832,             0.00052832
                     11,                 1.3336,                 1.0746,                 1.2565,                0.38241,                0.77698,                0.39416,                0.22781,                 1.3612,                 5.9897,                 1.3829,             0.00057664,             0.00057664,             0.00057664
                     12,                 1.3785,                 1.1041,                 1.2643,                0.37106,                0.53957,                0.33415,                0.16135,                 1.6886,                 5.7195,                 1.5704,             0.00062377,             0.00062377,             0.00062377
                     13,                  1.329,                 1.0466,                 1.1903,                0.30919,                 0.5036,                0.28574,                0.14772,                  1.673,                 6.1581,                 1.5775,             0.00066971,             0.00066971,             0.00066971
                     14,                 1.2982,                 1.0545,                 1.2665,                0.38221,                0.65468,                0.38419,                0.20826,                 1.4999,                  4.441,                 1.5593,             0.00071447,             0.00071447,             0.00071447
                     15,                  1.278,                0.95356,                 1.2123,                0.35103,                0.57554,                0.34114,                0.17017,                 1.5458,                 5.4006,                 1.5072,             0.00075803,             0.00075803,             0.00075803
                     16,                 1.2436,                0.99455,                 1.2199,                0.45295,                0.50039,                0.42125,                0.21173,                 1.5713,                 4.3601,                 1.5489,             0.00080041,             0.00080041,             0.00080041
                     17,                 1.3412,                 1.1106,                 1.3159,                0.43759,                0.35252,                0.27241,                0.13626,                 2.0058,                 4.8174,                 1.9838,              0.0008416,              0.0008416,              0.0008416
                     18,                 1.3348,                 1.0752,                 1.2379,                0.33076,                0.32374,                0.21919,                 0.1081,                 2.2139,                 6.4078,                 2.2289,              0.0008816,              0.0008816,              0.0008816
                     19,                 1.3174,                 1.0394,                 1.2539,                0.33636,                0.53957,                0.33006,                0.15311,                 1.8464,                 5.8017,                 1.8745,             0.00092042,             0.00092042,             0.00092042
                     20,                 1.2784,                 0.9647,                 1.2258,                0.42439,                0.56835,                 0.3981,                0.18615,                 1.6844,                 5.0838,                 1.8336,             0.00095804,             0.00095804,             0.00095804
                     21,                 1.2998,                 1.0572,                 1.2715,                0.46868,                0.58273,                0.46104,                0.23851,                 1.5722,                 3.4658,                 1.6687,             0.00099448,             0.00099448,             0.00099448
                     22,                 1.2726,                0.99396,                 1.2182,                0.45374,                0.52518,                0.46471,                0.25315,                 1.5185,                  3.303,                 1.5131,              0.0010297,              0.0010297,              0.0010297
                     23,                 1.2369,                0.96099,                 1.1723,                0.48326,                0.60432,                0.45404,                0.23702,                 1.5629,                 3.4354,                  1.519,              0.0010638,              0.0010638,              0.0010638
                     24,                 1.1861,                0.91204,                 1.1752,                0.51994,                0.66906,                0.49003,                0.24269,                  1.714,                 2.8398,                 1.5764,              0.0010967,              0.0010967,              0.0010967
                     25,                 1.2259,                0.94843,                 1.2031,                0.46928,                0.66906,                0.51479,                0.28288,                 1.5673,                 2.1197,                 1.4929,              0.0011284,              0.0011284,              0.0011284
                     26,                  1.261,                0.97097,                 1.1899,                0.59758,                0.71223,                0.63466,                0.35453,                 1.4327,                 1.9748,                 1.4867,              0.0011588,              0.0011588,              0.0011588
                     27,                 1.2043,                0.95875,                 1.1994,                0.59267,                0.74101,                0.70764,                0.38895,                 1.4513,                 1.9247,                 1.4261,              0.0011882,              0.0011882,              0.0011882
                     28,                 1.2209,                0.94418,                 1.1693,                0.60618,                 0.6312,                0.66143,                 0.3704,                 1.3962,                 1.8616,                 1.3413,              0.0012163,              0.0012163,              0.0012163
                     29,                 1.1766,                0.94054,                 1.1574,                0.60618,                 0.6312,                0.66143,                 0.3704,                 1.3962,                 1.8616,                 1.3413,              0.0012432,              0.0012432,              0.0012432
                     30,                 1.1542,                0.99299,                 1.1783,                0.47467,                0.41727,                0.46433,                0.23352,                 1.6279,                 2.8565,                 1.4747,               0.001269,               0.001269,               0.001269
                     31,                 1.2204,                0.97572,                 1.1875,                0.45142,                0.58273,                0.46763,                0.21828,                 1.6252,                 2.9967,                  1.545,              0.0012935,              0.0012935,              0.0012935
                     32,                  1.197,                 1.0411,                 1.2087,                 0.3835,                0.59712,                 0.4553,                0.23448,                 1.5772,                 2.9084,                 1.5243,              0.0013169,              0.0013169,              0.0013169
                     33,                 1.2671,                 1.0233,                 1.1993,                 0.3835,                0.59712,                 0.4553,                0.23448,                 1.5772,                 2.9084,                 1.5243,              0.0013391,              0.0013391,              0.0013391
                     34,                 1.2353,                 0.9988,                 1.1751,                0.43267,                0.54676,                0.49693,                0.25401,                 1.4881,                 3.1125,                 1.4571,              0.0013466,              0.0013466,              0.0013466
                     35,                 1.2772,                 1.0645,                 1.2206,                 0.5017,                0.57554,                0.54737,                0.29714,                 1.5038,                 3.1042,                 1.4511,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.2732,                 1.0017,                 1.2437,                0.59238,                0.64821,                0.60197,                0.32747,                 1.4306,                 2.3624,                 1.4176,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.1971,                0.92267,                 1.1851,                0.59238,                0.64821,                0.60197,                0.32747,                 1.4306,                 2.3624,                 1.4176,               0.001307,               0.001307,               0.001307
                     38,                 1.1862,                 0.8947,                 1.1764,                0.43774,                0.63309,                0.54179,                0.31752,                 1.4679,                 2.3452,                 1.4376,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.1804,                 0.9034,                 1.1839,                0.45712,                 0.6259,                0.53783,                0.30598,                 1.3696,                 2.5224,                  1.424,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.2172,                0.94058,                 1.2147,                0.47118,                0.72662,                0.51904,                0.30484,                 1.3388,                 2.2053,                 1.4113,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.2257,                0.97757,                 1.2388,                0.47118,                0.72662,                0.51904,                0.30484,                 1.3388,                 2.2053,                 1.4113,              0.0012278,              0.0012278,              0.0012278
                     42,                  1.269,                0.97539,                 1.2078,                 0.2797,                0.64029,                0.35519,                0.16552,                 1.5944,                 3.1596,                 1.5156,               0.001208,               0.001208,               0.001208
                     43,                 1.2656,                 1.0187,                 1.2431,                0.59884,                0.63309,                 0.5798,                0.32089,                 1.4399,                 1.7996,                 1.3908,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.3344,                 0.9893,                 1.2328,                0.55959,                0.69472,                 0.6428,                0.36387,                 1.3582,                 1.7735,                 1.3022,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.1826,                0.90444,                 1.1707,                0.55959,                0.69472,                 0.6428,                0.36387,                 1.3582,                 1.7735,                 1.3022,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.1995,                0.90145,                 1.1762,                0.60222,                 0.6644,                0.66768,                0.36348,                 1.3478,                 1.7873,                 1.2932,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.2077,                0.91828,                 1.1926,                0.66678,                0.66906,                0.69078,                0.39378,                 1.3866,                 1.5273,                 1.3004,               0.001109,               0.001109,               0.001109
                     48,                 1.1401,                0.88312,                   1.15,                 0.6603,                0.74115,                0.69344,                0.38658,                 1.4077,                 1.3662,                  1.355,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.1463,                0.88048,                 1.1721,                 0.6603,                0.74115,                0.69344,                0.38658,                 1.4077,                 1.3662,                  1.355,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.1883,                0.89088,                 1.1711,                0.63821,                0.74101,                0.70263,                0.40803,                 1.3705,                 1.3491,                 1.3312,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.1206,                0.88431,                 1.1985,                0.57971,                0.72662,                0.66785,                0.39866,                 1.3698,                 1.5626,                 1.3313,              0.0010298,              0.0010298,              0.0010298
                     52,                  1.174,                0.88237,                 1.1804,                0.57885,                0.74101,                0.64987,                0.37948,                 1.3704,                 1.6714,                 1.3437,                0.00101,                0.00101,                0.00101
                     53,                 1.1871,                0.86086,                  1.213,                0.57885,                0.74101,                0.64987,                0.37948,                 1.3704,                 1.6714,                 1.3437,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1204,                 0.8415,                 1.1558,                0.54108,                0.71252,                0.61939,                0.37358,                 1.3562,                 1.5936,                 1.3251,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0464,                0.80845,                  1.123,                0.55934,                0.74882,                0.63095,                0.39592,                 1.3346,                 1.4434,                 1.2929,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.1781,                0.89647,                 1.1968,                0.56224,                0.76978,                0.64471,                0.39145,                 1.3466,                 1.3015,                 1.2746,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.1415,                0.86384,                 1.1567,                0.56224,                0.76978,                0.64471,                0.39145,                 1.3466,                 1.3015,                 1.2746,               0.000911,               0.000911,               0.000911
                     58,                 1.1235,                0.82586,                 1.1655,                0.60038,                0.69784,                0.67535,                0.40772,                 1.3324,                 1.2174,                 1.2848,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.1189,                0.84401,                 1.1719,                0.63853,                0.74101,                0.72359,                0.44899,                 1.2864,                 1.1424,                   1.29,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1028,                0.81639,                 1.1552,                0.67381,                0.76259,                0.78581,                0.49593,                 1.2536,                 1.1708,                 1.2884,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.1343,                0.83367,                 1.1457,                0.67381,                0.76259,                0.78581,                0.49593,                 1.2536,                 1.1708,                 1.2884,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.1579,                0.83429,                 1.1483,                0.72985,                 0.6803,                0.76534,                0.46107,                  1.296,                 1.3303,                  1.309,               0.000812,               0.000812,               0.000812
                     63,                 1.1626,                0.84406,                 1.1608,                0.66313,                0.72662,                0.74749,                0.45212,                 1.3191,                 1.2569,                 1.2843,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.1421,                 0.8361,                 1.1506,                0.75846,                0.72293,                0.77409,                0.47802,                 1.2974,                 1.1163,                 1.2702,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.1051,                0.83274,                  1.151,                0.75846,                0.72293,                0.77409,                0.47802,                 1.2974,                 1.1163,                 1.2702,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.1173,                0.82215,                 1.1311,                0.75611,                 0.7482,                0.79547,                0.49332,                 1.2955,                 1.0316,                 1.2872,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0915,                0.80888,                 1.1382,                0.78044,                0.76978,                0.80954,                 0.5182,                 1.2416,                  0.988,                 1.2695,               0.000713,               0.000713,               0.000713
                     68,                 1.0842,                0.79796,                 1.1334,                0.79768,                0.79856,                0.80526,                0.54605,                 1.1622,                0.95154,                 1.2317,              0.0006932,              0.0006932,              0.0006932
                     69,                  1.051,                0.79357,                 1.1264,                0.79768,                0.79856,                0.80526,                0.54605,                 1.1622,                0.95154,                 1.2317,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.1121,                0.81542,                 1.1524,                0.82434,                0.77654,                0.81123,                0.53717,                 1.1599,                0.96827,                 1.2323,              0.0006536,              0.0006536,              0.0006536
                     71,                0.99509,                0.74346,                  1.104,                0.84579,                0.79137,                 0.8294,                0.55038,                 1.1381,                0.92831,                 1.2121,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0265,                0.77585,                 1.1437,                0.82849,                 0.7993,                0.84709,                0.57841,                 1.1165,                0.86886,                 1.2037,               0.000614,               0.000614,               0.000614
                     73,                 1.0082,                 0.7366,                 1.1203,                0.82849,                 0.7993,                0.84709,                0.57841,                 1.1165,                0.86886,                 1.2037,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.1275,                0.82068,                 1.1741,                0.84217,                0.76776,                0.85922,                0.57187,                 1.1678,                0.84723,                 1.1986,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.0413,                0.76699,                 1.1259,                0.86224,                0.76978,                0.86988,                0.58213,                 1.1707,                0.83724,                 1.1832,              0.0005546,              0.0005546,              0.0005546
                     76,                  1.059,                0.77275,                 1.1225,                0.86768,                0.82734,                 0.8992,                0.60798,                 1.1035,                0.81237,                 1.1556,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.0947,                0.78664,                  1.136,                0.86768,                0.82734,                 0.8992,                0.60798,                 1.1035,                0.81237,                 1.1556,               0.000515,               0.000515,               0.000515
                     78,                 1.0119,                0.75697,                 1.1152,                0.90196,                0.79424,                0.89166,                0.60312,                  1.068,                0.82148,                 1.1563,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0145,                0.74244,                 1.1005,                 0.9076,                0.77731,                0.88488,                0.59675,                 1.0704,                0.83237,                 1.1725,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.019,                0.73835,                 1.1038,                 0.9039,                0.76978,                0.88104,                0.59545,                 1.0706,                0.83973,                 1.1712,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.0184,                0.76642,                 1.1122,                 0.9039,                0.76978,                0.88104,                0.59545,                 1.0706,                0.83973,                 1.1712,              0.0004358,              0.0004358,              0.0004358
                     82,                0.99714,                0.73196,                 1.0791,                0.86064,                0.78417,                0.87086,                0.58205,                  1.085,                 0.8584,                   1.18,               0.000416,               0.000416,               0.000416
                     83,                0.99863,                 0.7521,                 1.0874,                0.87828,                0.80576,                 0.8675,                0.57705,                  1.129,                0.86015,                 1.1991,              0.0003962,              0.0003962,              0.0003962
                     84,                 0.9632,                0.72123,                 1.0752,                0.87152,                0.79137,                0.86303,                0.57793,                 1.1307,                0.83276,                 1.1983,              0.0003764,              0.0003764,              0.0003764
                     85,                0.95162,                0.71865,                 1.0818,                0.87152,                0.79137,                0.86303,                0.57793,                 1.1307,                0.83276,                 1.1983,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.0119,                0.72064,                 1.0929,                0.80946,                0.82521,                0.87962,                0.58536,                 1.1394,                0.81117,                 1.1953,              0.0003368,              0.0003368,              0.0003368
                     87,                0.97427,                0.71314,                 1.0761,                0.83618,                0.80791,                0.88435,                0.59027,                 1.1266,                0.78878,                 1.1806,               0.000317,               0.000317,               0.000317
                     88,                0.97232,                0.71579,                 1.1009,                0.84271,                0.82734,                0.89003,                0.60471,                 1.1012,                 0.7699,                 1.1619,              0.0002972,              0.0002972,              0.0002972
                     89,                 0.9533,                0.71442,                 1.0818,                0.84271,                0.82734,                0.89003,                0.60471,                 1.1012,                 0.7699,                 1.1619,              0.0002774,              0.0002774,              0.0002774
                     90,                0.93639,                0.68092,                 1.0332,                0.86334,                0.84892,                0.89792,                0.61314,                 1.0773,                0.75373,                 1.1516,              0.0002576,              0.0002576,              0.0002576
                     91,                0.99794,                0.80927,                 1.1288,                0.89288,                0.84173,                0.90626,                  0.618,                 1.0626,                0.75126,                 1.1485,              0.0002378,              0.0002378,              0.0002378
                     92,                0.99146,                0.80778,                 1.1339,                0.87419,                0.83453,                0.89932,                 0.6192,                 1.0577,                0.74607,                 1.1466,               0.000218,               0.000218,               0.000218
                     93,                0.99782,                 0.7867,                 1.1558,                0.87419,                0.83453,                0.89932,                 0.6192,                 1.0577,                0.74607,                 1.1466,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94665,                0.72494,                 1.0831,                0.90119,                0.78739,                0.90229,                0.61716,                 1.0594,                0.74843,                 1.1453,              0.0001784,              0.0001784,              0.0001784
                     95,                 0.9725,                0.71355,                 1.0581,                0.90899,                0.77698,                0.90142,                 0.6122,                 1.0669,                0.76181,                 1.1476,              0.0001586,              0.0001586,              0.0001586
                     96,                0.95693,                0.71491,                 1.0578,                0.92424,                0.76259,                 0.8943,                0.61301,                 1.0584,                0.76529,                 1.1439,              0.0001388,              0.0001388,              0.0001388
                     97,                0.92174,                 0.6984,                 1.0629,                0.92424,                0.76259,                 0.8943,                0.61301,                 1.0584,                0.76529,                 1.1439,               0.000119,               0.000119,               0.000119
                     98,                0.90533,                0.68909,                 1.0894,                0.89989,                0.76978,                0.89734,                0.61815,                 1.0464,                0.75923,                 1.1381,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                 0.9367,                0.70534,                 1.0502,                0.85009,                0.81592,                0.90547,                0.62633,                 1.0328,                0.75905,                  1.133,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.91378,                 0.7066,                 1.0681,                0.84775,                0.84125,                0.90536,                0.62492,                 1.0137,                0.75346,                 1.1289,               5.96e-05,               5.96e-05,               5.96e-05
